Polar Angle 	 Azimuth Angle 	 Intensity 
90.0	0.0	1337.6937
90.0	1.0	1326.5236
90.0	2.0	1308.5966
90.0	3.0000000000000004	1284.3306
90.0	4.0	1254.2782
90.0	5.0	1219.1081
90.0	6.000000000000001	1179.5851
90.0	7.0	1136.5456
90.0	8.0	1090.872
90.0	9.0	1043.4658
90.0	10.0	995.2207
90.0	11.0	946.9965
90.0	12.0	899.5948
90.0	13.0	853.737
90.0	14.0	810.0466
90.0	14.999999999999998	769.0342
90.0	16.0	731.0878
90.0	17.000000000000004	696.4672
90.0	18.0	665.3032
90.0	19.0	637.6021
90.0	20.0	613.2534
90.0	21.0	592.0422
90.0	22.0	573.6651
90.0	23.0	557.7479
90.0	24.000000000000004	543.866
90.0	25.0	531.5656
90.0	26.0	520.3845
90.0	26.999999999999996	509.8734
90.0	28.0	499.6144
90.0	29.000000000000004	489.2381
90.0	29.999999999999996	478.438
90.0	31.0	466.9807
90.0	32.0	454.7134
90.0	33.0	441.567
90.0	34.00000000000001	427.556
90.0	35.0	412.7734
90.0	36.0	397.3839
90.0	37.0	381.6127
90.0	38.0	365.7327
90.0	39.0	350.0493
90.0	40.0	334.8849
90.0	41.0	320.5623
90.0	42.0	307.3885
90.0	43.0	295.6403
90.0	44.0	285.5505
90.0	45.0	277.2974
90.0	46.00000000000001	270.9962
90.0	47.0	266.694
90.0	48.00000000000001	264.3673
90.0	49.00000000000001	263.9235
90.0	50.0	265.2048
90.0	51.0	267.9956
90.0	52.0	272.0317
90.0	53.0	277.0123
90.0	54.0	282.6129
90.0	55.0	288.4994
90.0	56.0	294.342
90.0	57.00000000000001	299.8296
90.0	58.00000000000001	304.6822
90.0	59.00000000000001	308.6624
90.0	59.99999999999999	311.5845
90.0	61.0	313.3215
90.0	62.0	313.8092
90.0	63.0	313.0475
90.0	64.0	311.0988
90.0	65.0	308.084
90.0	66.0	304.1756
90.0	67.0	299.5887
90.0	68.0	294.5705
90.0	69.0	289.3884
90.0	70.0	284.3171
90.0	71.0	279.6264
90.0	72.0	275.5685
90.0	73.0	272.3668
90.0	74.0	270.2063
90.0	75.0	269.2253
90.0	76.0	269.5101
90.0	77.0	271.0915
90.0	78.0	273.9438
90.0	79.0	277.987
90.0	80.0	283.0908
90.0	81.0	289.081
90.0	82.0	295.7475
90.0	83.0	302.8542
90.0	84.0	310.1497
90.0	85.0	317.3781
90.0	86.0	324.2906
90.0	87.0	330.6555
90.0	88.0	336.2682
90.0	89.0	340.9595
90.0	90.0	344.6014
90.0	91.0	347.1119
90.0	92.0	348.4573
90.0	93.0	348.6515
90.0	94.0	347.7545
90.0	95.0	345.8676
90.0	96.00000000000001	343.1276
90.0	97.0	339.6987
90.0	98.0	335.7645
90.0	99.0	331.5184
90.0	100.0	327.1539
90.0	101.0	322.8558
90.0	102.0	318.7915
90.0	103.0	315.1037
90.0	104.0	311.9042
90.0	105.00000000000001	309.2706
90.0	106.0	307.2431
90.0	107.0	305.8248
90.0	108.0	304.9836
90.0	109.0	304.6553
90.0	110.0	304.7494
90.0	111.0	305.1554
90.0	112.0	305.7507
90.0	113.0	306.4086
90.0	114.00000000000001	307.007
90.0	115.0	307.4363
90.0	116.00000000000001	307.6071
90.0	117.0	307.456
90.0	118.00000000000001	306.9512
90.0	119.0	306.0948
90.0	119.99999999999999	304.9247
90.0	121.0	303.5135
90.0	122.0	301.9659
90.0	123.00000000000001	300.4141
90.0	124.0	299.0114
90.0	125.00000000000001	297.9249
90.0	126.0	297.3266
90.0	127.00000000000001	297.385
90.0	128.0	298.2552
90.0	129.0	300.0707
90.0	130.0	302.9355
90.0	131.0	306.9177
90.0	132.0	312.0447
90.0	133.0	318.3005
90.0	134.0	325.6253
90.0	135.0	333.9176
90.0	136.0	343.0382
90.0	137.0	352.8169
90.0	138.0	363.0608
